platform,product_id,product_name,category,price,discount,sales_volume,ratings,reviews,seller_name,trend_score,search_rank,click_through_rate,assured_tag,exchange_offered,amazon_choice_badge,fulfillment_type,fashion_size,outfit_recommendations
Flipkart,FLI_294914,Secured real-time moderator,Fashion,110.34,43%,3563,4.9,1652,"Davis, Chandler and Wilson",89,#97,9.6%,False,True,,,,
Myntra,MYN_599243,Compatible 24/7 frame,Beauty,264.24,22%,9656,1.3,1624,Drake-Meyers,91,#53,6.02%,,,,,L,True
Flipkart,FLI_551071,Decentralized content-based definition,Beauty,40.04,7%,6852,1.3,586,"Shannon, Kim and Phillips",92,#33,0.47%,True,True,,,,
Meesho,MEE_737074,Persevering actuating toolset,Fashion,198.18,42%,5522,2.1,624,Watts Inc,18,#52,2.07%,,,,,,
Flipkart,FLI_289358,Cross-group encompassing hardware,Electronics,434.36,42%,2872,4.5,1990,Ramirez-Allen,16,#30,2.6%,False,False,,,,
Meesho,MEE_191957,Public-key attitude-oriented pricing structure,Beauty,428.29,25%,6642,3.7,1909,"Eaton, Ruiz and Small",15,#80,1.1%,,,,,,
Meesho,MEE_292883,Multi-channeled mobile collaboration,Fitness,300.31,15%,1284,4.4,649,Hall-Murphy,92,#54,0.7%,,,,,,
Flipkart,FLI_218266,User-centric heuristic orchestration,Fitness,202.65,46%,3625,2.5,58,Clark and Sons,67,#90,0.93%,False,False,,,,
Amazon,AMA_939745,Advanced high-level system engine,Fitness,152.64,32%,1039,4.4,397,"Chen, Russo and Payne",63,#73,2.76%,,,False,FBM,,
Flipkart,FLI_283287,User-centric tertiary protocol,Home,369.33,28%,5809,1.1,1566,"Lee, George and Brown",51,#61,8.25%,True,False,,,,
Myntra,MYN_649041,Re-contextualized bandwidth-monitored neural-net,Electronics,315.58,19%,7260,5.0,621,"Zavala, Barry and Berry",97,#32,1.68%,,,,,XL,True
Flipkart,FLI_759454,Virtual object-oriented strategy,Electronics,118.22,49%,6411,3.7,1828,Dillon Ltd,24,#62,9.15%,True,True,,,,
Flipkart,FLI_166579,Managed intermediate software,Electronics,428.08,34%,4051,1.8,1758,Brown Ltd,29,#49,4.37%,True,False,,,,
Amazon,AMA_519552,Synergized national support,Beauty,61.75,47%,4777,1.9,1590,"Butler, Harris and Mitchell",72,#96,4.48%,,,True,FBM,,
Amazon,AMA_148139,Object-based client-server success,Beauty,303.08,28%,5820,3.8,558,Roberts Ltd,10,#59,0.21%,,,True,FBM,,
Meesho,MEE_831238,Open-source empowering migration,Home,112.86,8%,991,2.9,1867,Clark PLC,43,#58,9.83%,,,,,,
Flipkart,FLI_283542,Re-engineered secondary interface,Home,473.1,36%,2968,1.1,531,Stone-Flores,22,#38,7.52%,False,False,,,,
Myntra,MYN_989891,Streamlined non-volatile core,Fashion,460.89,24%,7353,5.0,1900,Lee and Sons,21,#12,7.41%,,,,,XL,True
Amazon,AMA_260408,Future-proofed local monitoring,Beauty,141.89,8%,74,1.1,616,"Rivera, Wilson and Graham",52,#48,1.94%,,,False,FBA,,
Myntra,MYN_497821,Mandatory 4thgeneration data-warehouse,Fitness,181.0,17%,3873,3.2,1395,Garcia Group,92,#25,9.76%,,,,,L,False
Flipkart,FLI_208500,Enhanced human-resource moratorium,Fitness,106.27,19%,2694,2.3,1630,Preston Ltd,64,#95,8.19%,True,False,,,,
Amazon,AMA_983720,Total value-added instruction set,Beauty,351.96,29%,6013,1.5,561,"Cooper, Cohen and Roach",86,#30,5.37%,,,True,FBM,,
Meesho,MEE_141872,Customizable intermediate frame,Fitness,459.64,45%,666,2.3,1919,"Reilly, Smith and Hill",42,#21,7.42%,,,,,,
Myntra,MYN_107712,Quality-focused 24hour leverage,Beauty,52.78,36%,3950,3.5,721,Mueller-Mitchell,77,#4,2.8%,,,,,M,False
Meesho,MEE_520791,Innovative dynamic synergy,Home,366.01,40%,5049,4.7,1737,"Ward, Walker and Torres",29,#1,3.27%,,,,,,
Flipkart,FLI_499869,Horizontal optimizing frame,Home,260.99,29%,346,2.4,1864,Taylor Group,61,#12,9.06%,True,True,,,,
Myntra,MYN_297056,Robust bifurcated migration,Home,332.46,6%,4662,2.8,1381,Lewis and Sons,78,#33,5.52%,,,,,XL,True
Flipkart,FLI_547132,Optimized multimedia success,Fitness,37.7,3%,2352,3.3,286,"Williams, Wright and Baxter",73,#86,9.56%,True,True,,,,
Meesho,MEE_256238,Right-sized high-level monitoring,Electronics,360.37,39%,6209,3.7,236,"Riley, Lopez and Todd",44,#21,2.55%,,,,,,
Myntra,MYN_115683,Profit-focused leadingedge migration,Beauty,438.98,41%,9267,3.1,1060,Greene LLC,6,#83,0.58%,,,,,S,True
Flipkart,FLI_543607,Horizontal background strategy,Beauty,360.74,24%,2779,4.2,751,"Wiggins, Carter and Paul",49,#3,1.06%,True,True,,,,
Flipkart,FLI_703643,Visionary bottom-line utilization,Home,98.06,16%,3375,4.0,246,Pace Inc,86,#8,3.06%,True,True,,,,
Flipkart,FLI_484903,Organic grid-enabled concept,Fitness,453.31,28%,288,3.6,320,Monroe-Moore,66,#48,9.22%,True,True,,,,
Flipkart,FLI_378048,Right-sized user-facing function,Electronics,303.72,47%,242,4.6,919,"Wilson, Evans and Lee",7,#79,0.96%,True,True,,,,
Meesho,MEE_582002,User-centric radical knowledge user,Electronics,197.0,3%,5983,4.9,1079,Brown and Sons,9,#58,5.91%,,,,,,
Meesho,MEE_148694,Exclusive intangible groupware,Home,226.52,31%,4613,4.5,386,"Shah, Miller and Abbott",3,#100,9.67%,,,,,,
Myntra,MYN_753996,Virtual exuding concept,Fashion,426.0,4%,3904,3.8,1186,Moore-Glenn,80,#39,4.36%,,,,,S,False
Amazon,AMA_311232,Implemented modular application,Fitness,248.92,29%,4252,2.2,693,Guerrero-Bradshaw,93,#54,9.22%,,,True,FBA,,
Meesho,MEE_121601,User-centric 5thgeneration matrix,Beauty,83.97,45%,4480,2.1,1872,Duarte PLC,29,#9,2.19%,,,,,,
Flipkart,FLI_707710,Progressive web-enabled migration,Fashion,47.58,24%,1205,1.1,722,Lamb-Williams,19,#98,4.02%,False,True,,,,
Amazon,AMA_102516,Compatible bandwidth-monitored moderator,Beauty,217.61,16%,3547,1.8,1638,Romero and Sons,76,#16,7.45%,,,False,FBA,,
Flipkart,FLI_374845,Cross-group dedicated success,Electronics,181.98,1%,2199,3.6,1677,"Davis, Brown and Jennings",79,#39,3.28%,False,False,,,,
Flipkart,FLI_442291,Face-to-face holistic collaboration,Fitness,456.62,12%,10,1.1,641,Hudson PLC,21,#78,5.94%,False,True,,,,
Meesho,MEE_405003,Exclusive 3rdgeneration orchestration,Fitness,404.07,32%,2418,1.9,1066,Hughes-Heath,67,#2,3.58%,,,,,,
Meesho,MEE_813309,Enterprise-wide didactic adapter,Electronics,411.0,29%,6502,3.7,636,Maldonado LLC,34,#97,3.76%,,,,,,
Flipkart,FLI_600974,Team-oriented executive benchmark,Fitness,45.8,28%,4268,1.7,2,"Wilson, Higgins and Sanders",77,#42,1.03%,True,False,,,,
Amazon,AMA_119826,Virtual bifurcated software,Beauty,396.11,8%,6449,2.9,378,"Mendez, Flynn and Gonzales",10,#47,5.85%,,,False,FBM,,
Amazon,AMA_810706,Devolved composite leverage,Fitness,10.46,30%,7499,2.3,1716,Joseph Group,10,#37,8.07%,,,False,FBM,,
Flipkart,FLI_799676,Progressive solution-oriented leverage,Fashion,176.72,26%,774,4.6,1688,"Nunez, Jones and Clark",68,#82,9.07%,True,False,,,,
Amazon,AMA_243933,Seamless asymmetric instruction set,Fashion,49.72,42%,2239,3.8,627,"Anderson, Mcdonald and Blankenship",48,#78,7.77%,,,True,FBM,,
Amazon,AMA_269250,Assimilated homogeneous budgetary management,Fashion,94.12,41%,5276,4.8,924,"Steele, Rivera and Smith",35,#70,2.02%,,,True,FBM,,
Meesho,MEE_910828,Programmable zero tolerance adapter,Home,120.19,12%,9616,5.0,357,Lewis-Valentine,80,#87,8.52%,,,,,,
Myntra,MYN_880661,Stand-alone composite interface,Beauty,28.46,20%,1627,2.2,300,"Chen, Bean and Olson",96,#19,6.25%,,,,,M,False
Myntra,MYN_158921,Cross-platform exuding array,Home,468.86,6%,3296,4.2,1079,"Avila, Nelson and Martinez",42,#89,8.69%,,,,,S,True
Amazon,AMA_907066,Exclusive reciprocal implementation,Home,463.76,26%,9684,4.2,158,Gonzalez-Cruz,69,#29,9.63%,,,True,FBA,,
Amazon,AMA_623450,Devolved demand-driven architecture,Electronics,409.92,31%,7494,2.2,1887,Snyder Inc,2,#99,1.91%,,,True,FBA,,
Myntra,MYN_207206,Integrated discrete benchmark,Electronics,454.46,4%,8489,4.6,1543,"Cardenas, Walker and Johnston",24,#50,2.02%,,,,,XL,True
Myntra,MYN_765334,User-friendly high-level monitoring,Fitness,359.99,43%,6287,2.9,1242,"Gray, Coleman and Hutchinson",47,#14,1.84%,,,,,M,False
Meesho,MEE_306362,Programmable scalable matrices,Beauty,329.95,41%,8985,3.5,196,Malone-Hanna,88,#33,1.0%,,,,,,
Myntra,MYN_506184,Cloned multi-tasking implementation,Electronics,306.17,23%,6172,2.5,1057,"Howard, Rodriguez and Thompson",12,#38,1.87%,,,,,S,False
Amazon,AMA_551982,Re-engineered disintermediate success,Electronics,405.9,5%,2512,3.5,1154,Miller-Griffin,43,#88,2.58%,,,False,FBA,,
Myntra,MYN_442853,Cross-group logistical approach,Home,223.62,14%,3870,3.9,446,Pena-Lee,95,#91,8.52%,,,,,M,True
Meesho,MEE_458738,Stand-alone tangible core,Beauty,132.97,1%,1773,1.0,607,Lopez-Smith,72,#55,3.38%,,,,,,
Amazon,AMA_779184,Multi-channeled directional Local Area Network,Fitness,79.25,16%,9345,5.0,1191,Hernandez-King,71,#63,2.85%,,,True,FBM,,
Myntra,MYN_782205,Mandatory systemic software,Fashion,145.67,31%,1347,3.3,386,"Green, Roberts and Haney",58,#60,4.96%,,,,,L,True
Meesho,MEE_398733,Visionary composite parallelism,Beauty,136.24,12%,4252,3.1,987,Foster-King,32,#2,8.69%,,,,,,
Amazon,AMA_587914,Horizontal didactic alliance,Fashion,15.4,10%,901,4.9,295,Rivera Ltd,39,#45,3.65%,,,False,FBM,,
Amazon,AMA_205849,Multi-lateral dynamic matrices,Fashion,100.59,31%,900,2.6,1019,Barnes-Oconnell,53,#92,8.37%,,,False,FBA,,
Meesho,MEE_701752,Robust 4thgeneration framework,Fitness,209.57,4%,2600,2.4,935,"Vargas, Collins and Baldwin",84,#71,7.49%,,,,,,
Amazon,AMA_448633,Function-based discrete extranet,Beauty,73.05,42%,6073,4.0,1094,"Kaiser, Collins and Wood",28,#96,8.36%,,,True,FBM,,
Myntra,MYN_937930,Secured discrete interface,Fashion,331.88,9%,5105,3.8,1205,"Conway, Mccormick and Mitchell",55,#24,0.86%,,,,,L,False
Myntra,MYN_549836,Optimized bandwidth-monitored service-desk,Home,336.38,22%,6901,1.4,261,Crawford PLC,93,#86,0.82%,,,,,M,True
Myntra,MYN_521190,Advanced high-level matrix,Fashion,435.47,13%,9894,1.4,762,Warren-Torres,2,#1,4.72%,,,,,S,True
Flipkart,FLI_146465,Integrated mission-critical pricing structure,Beauty,437.44,39%,502,3.3,650,"Wood, Smith and Morris",65,#70,4.97%,True,False,,,,
Flipkart,FLI_499376,De-engineered national frame,Fitness,380.47,9%,350,3.2,439,Brown-Alexander,87,#5,1.12%,False,False,,,,
Flipkart,FLI_221650,Enterprise-wide local encryption,Home,314.11,48%,406,1.5,854,"Hardin, Miller and Rivers",34,#78,9.25%,False,False,,,,
Myntra,MYN_285295,Object-based homogeneous initiative,Home,488.88,50%,2427,4.7,763,"Sparks, Trevino and Turner",32,#72,7.21%,,,,,M,True
Myntra,MYN_929669,Face-to-face bifurcated complexity,Fashion,289.31,39%,4192,4.7,1278,Smith-King,59,#32,8.41%,,,,,L,True
Meesho,MEE_775308,Reduced mobile paradigm,Fashion,246.95,15%,9311,1.7,506,Russell-Bishop,13,#71,9.59%,,,,,,
Myntra,MYN_534090,Multi-lateral hybrid task-force,Beauty,337.16,10%,4675,2.4,552,Mora Inc,60,#19,2.6%,,,,,XL,True
Meesho,MEE_999437,Assimilated dynamic moratorium,Home,157.1,43%,7165,4.2,1800,Lawrence-Fleming,58,#88,6.63%,,,,,,
Flipkart,FLI_652643,Persevering logistical capacity,Beauty,486.38,36%,8784,2.7,473,Rodriguez-Spencer,20,#11,8.39%,False,True,,,,
Meesho,MEE_276986,Digitized discrete secured line,Beauty,192.44,43%,2931,1.3,1945,Smith Group,72,#68,3.06%,,,,,,
Amazon,AMA_285847,Function-based well-modulated artificial intelligence,Fitness,419.85,10%,8073,2.1,508,"Figueroa, Smith and Freeman",93,#31,8.56%,,,False,FBA,,
Meesho,MEE_475943,Exclusive scalable hub,Electronics,279.79,22%,8493,3.0,1069,Herring-Shah,16,#57,4.72%,,,,,,
Myntra,MYN_300443,Versatile 5thgeneration infrastructure,Fashion,401.77,27%,9262,1.2,1175,Miles-Gonzalez,40,#43,7.66%,,,,,M,False
Meesho,MEE_229446,De-engineered asymmetric approach,Fitness,422.03,5%,7063,4.3,1650,Joyce Ltd,9,#6,6.46%,,,,,,
Meesho,MEE_650971,Centralized fresh-thinking workforce,Electronics,122.22,42%,7930,1.3,352,Doyle Ltd,44,#28,6.58%,,,,,,
Flipkart,FLI_776860,Centralized foreground capability,Fitness,278.87,26%,8672,2.1,1875,Moore Group,49,#84,9.58%,True,False,,,,
Myntra,MYN_764859,Devolved composite firmware,Fashion,360.81,49%,1337,1.3,1814,Russell-Owens,41,#41,7.49%,,,,,M,False
Myntra,MYN_725195,Function-based analyzing paradigm,Fitness,322.33,8%,7330,1.9,1375,Mayo-Barr,66,#46,9.78%,,,,,S,False
Flipkart,FLI_400145,Realigned upward-trending neural-net,Fashion,97.47,22%,6560,3.8,1620,Frederick Inc,11,#41,9.93%,True,True,,,,
Amazon,AMA_295828,Synergistic mission-critical productivity,Electronics,153.83,12%,5544,4.1,542,Edwards-Martinez,70,#53,5.46%,,,False,FBA,,
Flipkart,FLI_149428,Phased solution-oriented Local Area Network,Beauty,64.59,7%,7588,2.7,1671,Lopez-Mcdowell,47,#49,5.13%,True,True,,,,
Flipkart,FLI_281548,Virtual impactful strategy,Home,9.34,3%,9543,3.5,325,Walker LLC,68,#91,5.66%,True,True,,,,
Flipkart,FLI_451978,Intuitive impactful synergy,Beauty,34.09,47%,3217,3.0,690,"Morris, Turner and Reynolds",38,#72,8.72%,True,True,,,,
Flipkart,FLI_687990,Persistent 24/7 encryption,Fashion,316.63,35%,5411,4.7,493,Green PLC,83,#66,0.51%,True,False,,,,
Amazon,AMA_732200,Progressive impactful challenge,Home,430.4,34%,7297,4.6,1696,"Jackson, Hall and Wilson",49,#77,1.4%,,,False,FBM,,
Meesho,MEE_290727,Universal well-modulated solution,Electronics,477.07,49%,7238,4.1,1723,Santana Inc,1,#22,2.35%,,,,,,
Amazon,AMA_880366,Progressive homogeneous matrix,Home,207.21,21%,3591,2.8,1342,Perez-Moore,33,#38,0.38%,,,False,FBM,,
Flipkart,FLI_464823,Reactive mobile Local Area Network,Home,273.76,25%,9677,1.3,535,"Sanders, Adams and Weaver",68,#23,6.96%,False,False,,,,
Myntra,MYN_887724,Configurable incremental hierarchy,Fitness,442.97,31%,8072,4.6,1883,Powell-Ramirez,54,#36,4.71%,,,,,M,True
Amazon,AMA_735336,Mandatory interactive flexibility,Home,126.52,42%,8888,3.9,405,"Wong, Chandler and Jones",63,#49,4.04%,,,True,FBM,,
Meesho,MEE_666000,Integrated object-oriented circuit,Fashion,318.19,8%,4198,1.3,1964,Barron-Hernandez,46,#29,9.86%,,,,,,
Flipkart,FLI_858705,Function-based neutral alliance,Beauty,245.05,8%,2170,1.5,1993,Wolfe PLC,12,#52,7.8%,False,False,,,,
Flipkart,FLI_295392,Reactive even-keeled forecast,Fashion,457.13,42%,2124,3.1,539,Espinoza-Craig,85,#65,1.49%,False,True,,,,
Myntra,MYN_943479,Persevering mobile database,Fitness,17.26,33%,7788,3.8,350,"Howell, Vasquez and Martin",2,#39,2.75%,,,,,XL,False
Flipkart,FLI_894523,Switchable multi-state neural-net,Fitness,316.94,25%,3997,4.8,122,Maldonado-Bryant,66,#34,5.38%,False,True,,,,
Myntra,MYN_560443,Open-source methodical Internet solution,Electronics,211.13,50%,2679,1.6,201,Jones and Sons,34,#50,2.9%,,,,,XL,False
Amazon,AMA_575814,Organic demand-driven strategy,Beauty,358.2,41%,2663,3.3,1406,Taylor Ltd,12,#94,0.63%,,,True,FBA,,
Amazon,AMA_706568,Pre-emptive solution-oriented model,Fashion,34.52,20%,145,1.6,1609,Sutton-Miller,52,#42,8.03%,,,False,FBM,,
Meesho,MEE_215536,Networked asymmetric frame,Fitness,30.88,45%,4224,4.9,1169,Burns-Vaughn,25,#28,7.15%,,,,,,
Flipkart,FLI_785131,Universal 5thgeneration monitoring,Electronics,167.04,39%,5086,1.2,1276,"Meyer, Graham and Miller",80,#93,9.03%,True,False,,,,
Myntra,MYN_752640,Mandatory radical conglomeration,Beauty,137.25,13%,4643,3.2,41,Saunders and Sons,7,#42,5.85%,,,,,XL,False
Myntra,MYN_101422,Stand-alone upward-trending pricing structure,Fashion,153.05,19%,8372,2.0,1437,Hall-Bailey,10,#42,8.39%,,,,,M,False
Myntra,MYN_896589,Organized incremental extranet,Home,225.12,5%,5975,3.1,1989,"Cline, Taylor and Smith",70,#25,1.14%,,,,,L,False
Meesho,MEE_706592,Operative scalable parallelism,Electronics,326.62,10%,2001,2.0,349,Thompson-Richard,55,#70,8.94%,,,,,,
Amazon,AMA_588290,Digitized asynchronous initiative,Electronics,69.35,36%,3612,4.8,165,Lindsey Group,19,#30,9.15%,,,True,FBM,,
Amazon,AMA_942758,Streamlined tangible functionalities,Electronics,293.51,50%,6095,2.7,425,Allison Inc,14,#56,3.26%,,,False,FBM,,
Amazon,AMA_274399,Optimized 24/7 leverage,Electronics,274.48,5%,3586,2.9,1061,Soto and Sons,62,#53,1.65%,,,True,FBM,,
Amazon,AMA_140683,Integrated modular encoding,Fitness,219.07,30%,3053,4.5,695,"Thomas, Richardson and Tucker",48,#80,4.2%,,,False,FBA,,
Myntra,MYN_673587,Open-architected cohesive firmware,Fashion,63.86,22%,1918,2.3,1933,Chen Ltd,94,#32,0.58%,,,,,XL,True
Flipkart,FLI_391092,Universal context-sensitive flexibility,Fitness,33.26,40%,3596,2.6,540,"Sanders, Davis and Adkins",57,#27,6.14%,True,True,,,,
Meesho,MEE_704423,Cross-platform mission-critical frame,Beauty,190.36,43%,6185,4.7,1859,Mendez and Sons,3,#16,8.41%,,,,,,
Flipkart,FLI_728334,Team-oriented coherent database,Beauty,69.34,45%,6951,4.9,638,Parker Inc,60,#8,6.41%,True,True,,,,
Amazon,AMA_617076,Optimized eco-centric architecture,Fitness,372.34,46%,6731,4.8,1495,Jones LLC,83,#62,3.17%,,,False,FBM,,
Amazon,AMA_337095,Intuitive leadingedge process improvement,Fashion,265.27,39%,8788,1.9,931,Dougherty-Fisher,7,#14,5.86%,,,True,FBA,,
Flipkart,FLI_834765,Compatible regional middleware,Home,57.44,17%,367,1.6,231,Smith LLC,16,#9,2.52%,True,True,,,,
Amazon,AMA_563929,Object-based disintermediate throughput,Fashion,226.76,6%,6302,3.2,28,Ibarra-Graves,52,#89,2.97%,,,True,FBA,,
Myntra,MYN_636597,Decentralized 6thgeneration portal,Fitness,274.62,46%,348,1.1,546,Bradley and Sons,69,#39,5.03%,,,,,L,True
Flipkart,FLI_689417,Progressive client-server array,Fashion,421.2,38%,1465,1.2,1662,Fernandez-Thomas,73,#17,1.39%,True,False,,,,
Flipkart,FLI_724683,Synergized stable solution,Home,27.99,30%,7367,2.0,902,Mccarthy-Morris,56,#25,3.07%,False,False,,,,
Flipkart,FLI_192965,Synchronized human-resource benchmark,Fitness,43.49,40%,9061,1.5,1260,Morgan and Sons,92,#93,6.59%,False,True,,,,
Myntra,MYN_489200,Advanced tertiary policy,Home,494.68,26%,9172,1.2,1298,"Douglas, Hoffman and Smith",60,#67,1.78%,,,,,S,False
Myntra,MYN_921790,Digitized content-based matrix,Electronics,95.27,17%,8219,3.2,705,Holloway-Thomas,7,#39,2.01%,,,,,L,False
Amazon,AMA_543994,Decentralized zero administration implementation,Fashion,31.73,30%,8370,2.5,1908,"Larsen, Green and Garcia",65,#24,2.34%,,,True,FBM,,
Flipkart,FLI_325408,Fully-configurable maximized definition,Fitness,448.28,32%,3796,4.7,154,Jackson Inc,31,#26,9.0%,False,True,,,,
Myntra,MYN_146892,Synergistic transitional protocol,Electronics,356.93,7%,1855,3.8,1956,Morris and Sons,13,#67,5.65%,,,,,XL,False
Myntra,MYN_910795,Multi-lateral tertiary interface,Home,72.36,23%,1170,5.0,261,Turner LLC,18,#32,8.83%,,,,,M,False
Amazon,AMA_102524,Stand-alone actuating Local Area Network,Home,66.33,39%,684,3.2,1850,"Cruz, Jones and Turner",88,#3,1.89%,,,False,FBM,,
Meesho,MEE_420340,Visionary zero administration portal,Fashion,139.23,44%,8959,3.0,1017,"Kline, Cole and Winters",60,#28,0.91%,,,,,,
Meesho,MEE_473292,Face-to-face responsive concept,Fitness,281.12,25%,4015,1.6,1421,Phillips-Medina,13,#98,1.88%,,,,,,
Meesho,MEE_672417,Managed optimizing secured line,Beauty,44.19,5%,2607,1.5,587,"Combs, Ward and Washington",1,#95,6.35%,,,,,,
Meesho,MEE_811607,Multi-layered cohesive artificial intelligence,Fitness,154.57,8%,2548,4.9,367,"Burke, Powell and Mayer",17,#61,8.3%,,,,,,
Myntra,MYN_808489,Fundamental intangible portal,Beauty,113.19,49%,3255,2.1,1803,"Hawkins, Ramirez and Stein",13,#95,2.0%,,,,,M,False
Flipkart,FLI_481203,Synergized systemic analyzer,Fashion,84.6,18%,484,2.4,1831,Chandler LLC,47,#59,1.22%,True,False,,,,
Flipkart,FLI_752069,Universal real-time leverage,Fashion,57.07,14%,6697,4.2,1666,White Group,82,#66,8.92%,True,True,,,,
Meesho,MEE_372885,Extended mobile array,Fitness,412.61,21%,1877,2.4,191,Brooks Ltd,70,#14,6.25%,,,,,,
Myntra,MYN_703246,Implemented eco-centric architecture,Home,234.6,29%,7410,3.6,1594,Rice Ltd,83,#70,2.28%,,,,,L,True
Amazon,AMA_444718,Virtual motivating throughput,Electronics,492.34,30%,9832,2.0,1706,"Phillips, Davis and Martin",54,#17,7.04%,,,True,FBM,,
Flipkart,FLI_654533,Switchable multimedia collaboration,Home,155.8,36%,8834,2.8,97,"Smith, Anderson and Sullivan",19,#36,9.56%,False,True,,,,
Myntra,MYN_607948,Self-enabling tertiary system engine,Electronics,216.95,2%,3846,3.0,26,Snyder-Nichols,5,#99,7.02%,,,,,M,False
Flipkart,FLI_544628,Automated 6thgeneration application,Electronics,242.49,30%,6180,3.2,881,Clayton Inc,17,#1,0.37%,False,False,,,,
Meesho,MEE_808513,Persistent coherent approach,Beauty,63.57,48%,662,3.6,1264,Taylor-Richard,96,#36,3.55%,,,,,,
Amazon,AMA_424693,Exclusive disintermediate parallelism,Fashion,328.28,37%,1509,3.3,639,"Knight, Mcdonald and Oconnor",57,#34,0.61%,,,False,FBA,,
Flipkart,FLI_332713,Persevering system-worthy task-force,Home,146.45,36%,9274,4.5,1590,Padilla LLC,93,#16,6.12%,False,True,,,,
Flipkart,FLI_544177,Operative needs-based functionalities,Fitness,414.22,48%,8983,4.5,1367,Francis-Cortez,2,#74,9.51%,False,False,,,,
Myntra,MYN_314398,Adaptive exuding standardization,Fashion,411.09,31%,6908,1.2,1783,Gordon PLC,60,#46,2.75%,,,,,S,False
Amazon,AMA_329515,Enhanced asynchronous core,Home,405.0,13%,327,4.4,193,Brown-Horton,9,#78,4.8%,,,False,FBM,,
Meesho,MEE_476489,Advanced interactive system engine,Fashion,472.18,23%,2646,1.6,1961,Rodriguez-Hill,4,#43,5.34%,,,,,,
Flipkart,FLI_325878,User-friendly hybrid process improvement,Fitness,122.55,0%,9474,4.9,849,"Cooper, Johnson and Mata",25,#6,1.07%,False,True,,,,
Amazon,AMA_730735,Fundamental foreground groupware,Beauty,375.52,34%,3315,3.0,1793,Jordan-Hall,23,#16,7.68%,,,False,FBA,,
Myntra,MYN_564559,Multi-channeled real-time extranet,Fashion,338.04,29%,6618,2.2,1079,Reyes-Burnett,29,#42,6.34%,,,,,L,False
Flipkart,FLI_182233,Ameliorated empowering functionalities,Fitness,330.06,40%,7767,2.3,680,Lowery-Gordon,44,#71,9.3%,True,False,,,,
Flipkart,FLI_770499,Open-architected context-sensitive definition,Fitness,132.04,26%,2103,2.2,1886,Kelley-Hicks,29,#10,4.43%,True,False,,,,
Amazon,AMA_618623,Future-proofed content-based system engine,Beauty,243.2,26%,7484,4.0,673,Daniel-Gibbs,7,#83,5.88%,,,True,FBM,,
Flipkart,FLI_417025,Up-sized multimedia frame,Electronics,172.45,5%,2672,2.9,818,Callahan LLC,6,#80,8.9%,False,True,,,,
Meesho,MEE_715100,Adaptive value-added implementation,Electronics,132.63,44%,8697,3.9,183,"Ford, Rodriguez and Douglas",24,#89,2.12%,,,,,,
Myntra,MYN_201541,Configurable incremental knowledgebase,Fashion,132.34,30%,1027,4.6,1672,"Lawrence, Valencia and Ortiz",92,#21,2.01%,,,,,L,False
Flipkart,FLI_552300,Virtual discrete secured line,Fitness,280.76,48%,9928,2.3,885,Abbott-Randolph,44,#10,8.75%,False,True,,,,
Myntra,MYN_619213,De-engineered asynchronous leverage,Beauty,461.94,18%,6594,1.3,1918,Meyer-Weaver,3,#94,8.13%,,,,,S,True
Meesho,MEE_922324,Reactive maximized definition,Fashion,432.63,42%,7797,1.7,455,Morales-Stephens,88,#12,8.6%,,,,,,
Myntra,MYN_984294,Proactive upward-trending alliance,Fitness,307.65,16%,2285,4.1,252,"Salazar, Smith and Owens",14,#21,2.22%,,,,,L,True
Flipkart,FLI_527531,Proactive intermediate function,Electronics,113.17,33%,8599,3.8,1378,Sparks-Conway,98,#51,0.86%,True,False,,,,
Amazon,AMA_582301,Profound explicit utilization,Fashion,229.33,40%,2700,3.6,1681,Dickerson PLC,24,#37,8.76%,,,True,FBM,,
Meesho,MEE_164414,Customer-focused global projection,Fashion,179.62,1%,5767,1.9,1594,"Yang, Powers and Smith",56,#18,9.09%,,,,,,
Amazon,AMA_772105,Progressive actuating budgetary management,Beauty,230.12,19%,1965,4.4,1607,"Byrd, Cook and Hunt",28,#50,1.51%,,,True,FBM,,
Myntra,MYN_565896,Fully-configurable dynamic open system,Beauty,295.51,40%,4626,4.2,381,Melendez-Nunez,55,#11,8.19%,,,,,XL,False
Myntra,MYN_617940,Fundamental clear-thinking service-desk,Fashion,127.43,13%,1836,2.6,1236,Robertson LLC,13,#87,0.91%,,,,,M,False
Flipkart,FLI_871024,Streamlined motivating migration,Electronics,401.25,37%,5322,2.4,1852,Cardenas Group,16,#61,2.84%,False,False,,,,
Amazon,AMA_570123,Horizontal static application,Electronics,256.23,38%,5798,4.9,1109,Dennis PLC,83,#42,6.71%,,,False,FBA,,
Myntra,MYN_927456,Synchronized 5thgeneration budgetary management,Home,203.12,27%,4885,2.2,907,"Chavez, Powell and Hines",22,#42,3.17%,,,,,S,True
Amazon,AMA_248023,Cross-group explicit firmware,Home,98.65,19%,6418,4.1,1951,"Allen, Morgan and Peterson",45,#67,7.71%,,,False,FBM,,
Myntra,MYN_593616,Balanced multimedia approach,Fitness,374.3,0%,3180,1.2,472,"Bailey, Gallagher and Kelley",57,#80,0.59%,,,,,XL,True
Amazon,AMA_728941,Persistent actuating concept,Beauty,461.25,44%,2737,4.1,582,Reeves-Holt,77,#99,9.16%,,,True,FBA,,
